exhaust, 배기가스
intense, 극심한
deny, 부인하다
nucleus, 핵
demand, 수요
understand, 이해하다
intellectual, 지적인
factor, 요인
disorder, 무질서
mean, 평균
recycle, 재활용
circular, 회보
appearance, 모습
bat, 박쥐
literature, 문학
exposure, 노출
explore, 탐구하다
abstract, 추상적인
conservation, 보존
effort, 노력
consequently, 따라서
remain, 유지하다
Budget, 예산
reflect, 반영하다
design, 설계
competent, 능숙한
force, 힘
allow, 허용하다
damp, 습기
perception, 지각
ingredient, 재료
write, 쓰다
combine, 결합하다
industrial, 산업의
local, 현지의
lead, 선두
solar, 태양의
scientific, 과학적
critical, 비판적인
miss, 놓치다
ambitious, 거창한
distribution, 분포
capacity, 용량
contest, 경쟁
core, 핵심
immense, 엄청난
purchase, 구입
prosperity, 번영
precede, 앞서다
vulnerable, 취약한
usage, 용법
be, BE
medium, 중간
opponent, 그들은 반대할 것이다
technique, 기술
symbol, 상징
enable, ~할 수 있게 하다
launch, 시작하다
interest, 관심
electric, 전기 같은
manufacturer, 제조업체
qualify, 자격을 갖추다
readily, 손쉽게
sensible, 현명한
X-ray, 엑스레이
ban, 반
determine, 결정하다
species, 종
presentation, 프레젠테이션
include, 포함하다
result, 결과
financial, 재정적인
odd, 이상한
neutral, 중립적
approach, 접근하다
observe, 관찰하다
cope, 코프
particularly, 특히
rotten, 썩은
tour, 관광
internal, 내부
gesture, 몸짓
glimpse, 일견
allocate, 할당하다
graduate, 졸업하다
adequate, 적절한
engine, 엔진
constitute, 구성하다
substantial, 상당한
accordance, 일치
alternative, 대안
source, 원천
necessarily, 필연적으로
responsible, 책임이 있는
conclusion, 결론
ethnic, 민족
give, 주다
output, 산출
pond, 연못
positive, 긍정적인
ability, 능력
potential, 잠재적인
oral, 경구
hardship, 고난
highlight, 가장 밝은 부분
desperate, 자포자기한
association, 협회
poverty, 빈곤
division, 분할
strategy, 전략
management, 관리
market, 시장
analysis, 분석
preparation, 준비
beneath, ~ 아래에
breed, 새끼를 낳다
contrary, 반대되는
semester, 학기
achievement, 성취
radical, 근본적인
scope, 범위
convince, 확신시키다
measure, 측정하다
weaken, 꺾이다
strengthen, 강하게 하다
union, 노동 조합
necessity, 필요성
independent, 독립적인
wealth, 재산
powerful, 강한
career, 직업
equivalent, 동등한
generator, 발전기
motor, 모터
humor, 기분
optimistic, 낙관적인
temper, 성질
puzzle, 퍼즐
relative, 상대적인
virtually, 사실상
recently, 최근에
invariably, 변함없이
hip, 잘 알고 있기
elbow, 팔꿈치
outward, 외부
signal, 신호
likely, ~할 것 같은
survive, 생존하다
alliance, 동맹
protection, 보호
exchange, 교환
flesh, 육체
grand, 멋진
attain, 달성하다
specific, 특정한
subject, 주제
debate, 토론
evidence, 증거
establish, 설립하다
similar, 비슷한
pregnant, 임신한
propose, 제안하다
publication, 출판
journal, 신문
mood, 분위기
influence, 영향
extent, 정도
rely, 의존하다
focus, 집중하다
