ignore, 무시하다
output, 산출
bilingual, 이중 언어를 사용하는
chemical, 화학적인
coverage, 보도 범위
initial, 초기의
evidence, 증거
cash, 현금
input, 투입
register, 등록하다
librarian, 사서
court, 법원
cocoa, 코코아
abidingly, 지속적으로
gender, 성별
goggle, 고글
department, 부서
assess, 평가하다
native, 원어민의
recovery, 회복
mood, 기분
mistake, 실수
misunderstand, 오해하다
circumstance, 상황
vitality, 활력
emphasise, 강조하다
arab, 아랍인
rugby, 럭비
identity, 정체성
scholarship, 장학금
exception, 예외
prove, 증명하다
philosophy, 철학
employment, 고용
chapter, 장
sky, 하늘
architectural, 건축의
earth, 지구
flat, 평평한
increasingly, 점점 더
reform, 개혁
employee, 직원
decrease, 감소하다
sector, 부문
playlist, 재생 목록
undergo, 겪다
fully, 완전히
protective, 보호하는
partnership, 파트너십
connection, 연결
sociology, 사회학
experiment, 실험
economy, 경제
fairly, 상당히
ethical, 윤리적인
perception, 인식
immediately, 즉시
assistance, 도움
rely, 의존하다
previous, 이전의
counter, 카운터
experimental, 실험적인
historian, 역사가
cosmetic, 화장품의
credit, 학점
quiz, 퀴즈
mechanics, 역학
specialise, 전문화하다
morbid, 병적인
hire, 고용하다
wage, 임금
lack, 부족
false, 거짓의
explore, 탐구하다
insurance, 보험
automate, 자동화하다
audience, 청중
pacific, 태평양의
omit, 생략하다
undertake, 착수하다
debate, 토론
cooperator, 협력자
consist, 구성되다
concise, 간결한
via, ~을 통해
implement, 실행하다
recognition, 인식
brief, 간략한
professor, 교수
gallery, 갤러리
optional, 선택적인
generally, 일반적으로
portion, 부분
harm, 해치다
agenda, 의제
bookstore, 서점
bibliography, 참고 문헌
fourteenth, 열네 번째의
enormous, 거대한
humidity, 습도
continuous, 지속적인
logic, 논리
prospective, 예상되는
highly, 매우
contain, 포함하다
orchestra, 오케스트라
urbanisation, 도시화
apply, 적용하다
witness, 목격하다
accommodate, 수용하다
relatively, 상대적으로
dissertation, 학위 논문
deduction, 공제
conquer, 정복하다
revolution, 혁명
possession, 소유
automatic, 자동의
spontaneously, 자발적으로
contradict, 모순되다
criticise, 비판하다
presentation, 발표
residence, 거주지
gain, 얻다
quantity, 양
concentrate, 집중하다
posture, 자세
step, 단계
stage, 단계
statistics, 통계
stock, 재고
daily, 매일의
attitude, 태도
overwhelm, 압도하다
conduct, 수행하다
globally, 전 세계적으로
consume, 소비하다
artistic, 예술적인
former, 이전의
offer, 제공하다
structure, 구조
barn, 헛간
canteen, 구내식당
organisational, 조직의
gather, 모으다
semester, 학기
scientist, 과학자
explanation, 설명
fieldwork, 현장 조사
deepen, 깊게 하다
useable, 사용 가능한
reward, 보상
insufficient, 불충분한
manufacturer, 제조업체
accept, 받아들이다
renovation, 보수
property, 재산
fluency, 유창함
despite, ~에도 불구하고
cart, 카트
progressively, 점진적으로
candidate, 후보자
entire, 전체의
industrialise, 산업화하다
acknowledge, 인정하다
oil, 기름
driver, 운전자
renowned, 유명한
philosopher, 철학자
dine, 식사하다
participate, 참여하다
chief, 최고의
stationery, 문구류
mechanical, 기계적인
expand, 확장하다
agricultural, 농업의
least, 가장 적은
beneficial, 유익한
extreme, 극단적인
plight, 곤경
conceive, 생각해내다
essay, 에세이
final, 최종의
expense, 비용
organic, 유기적인
moment, 순간
absorb, 흡수하다
schedule, 일정
internal, 내부의
imagination, 상상력
organise, 조직하다
container, 용기
relevant, 관련된
tourism, 관광
engineer, 엔지니어
raw, 날것의
freedom, 자유
jam, 잼
norm, 규범
predominant, 지배적인
desirable, 바람직한
allergic, 알레르기가 있는
enquiry, 문의
solution, 해결책
scientific, 과학적인
switch, 전환하다
current, 현재의
optimism, 낙관주의
excursion, 소풍
batch, 일괄
likelihood, 가능성
southeastern, 남동쪽의
elevator, 엘리베이터
unavoidable, 피할 수 없는
production, 생산
frequent, 빈번한
efficiency, 효율성
strategy, 전략
exploration, 탐험
disease, 질병
wave, 파도
infect, 감염시키다
cambridge, 케임브리지
statistical, 통계적인
gravity, 중력
mar, 손상시키다
compute, 계산하다
deadline, 마감일
curriculum, 교육과정
exotic, 이국적인
devolution, 권한 이양
seminar, 세미나
illustration, 삽화
identify, 식별하다
define, 정의하다
loan, 대출
atom, 원자
novelist, 소설가
limitation, 제한
convention, 관습
intentioned, 의도된
intelligence, 지능
stressful, 스트레스가 많은
communicable, 전염성의
presidential, 대통령의
massive, 거대한
geographical, 지리적인
accuracy, 정확성
scope, 범위
advertize, 광고하다
insightful, 통찰력 있는
criterion, 기준
capacity, 용량
highlighter, 형광펜
tough, 힘든
inspire, 영감을 주다
rail, 철도
economist, 경제학자
inadequately, 불충분하게
select, 선택하다
practise, 연습하다
familiar, 익숙한
portray, 묘사하다
threat, 위협
ticket, 티켓
harsh, 가혹한
toxin, 독소
bar, 막대
logical, 논리적인
rational, 합리적인
pose, 제기하다
extensive, 광범위한
correctly, 정확하게
graph, 그래프
ray, 광선
effect, 효과
mishap, 사고
category, 범주
bias, 편견
dangerous, 위험한
distance, 거리
philosophical, 철학적인
journalism, 저널리즘
compound, 화합물
rapidly, 빠르게
prefer, 선호하다
entrepreneurship, 기업가 정신
mineral, 광물
analyse, 분석하다
purchase, 구매하다
password, 비밀번호
underground, 지하의
day, 날
accumulation, 축적
additional, 추가적인
aerial, 공중의
adopt, 채택하다
appropriate, 적절한
spaceship, 우주선
geological, 지질학적인
integrate, 통합하다
economics, 경제학
underwater, 수중의
permit, 허가하다
internship, 인턴십
accountancy, 회계학
observe, 관찰하다
acquire, 획득하다
confuse, 혼란스럽게 하다
visitor, 방문자
further, 더 나아가
educator, 교육자
strangely, 이상하게
hydrant, 소화전
physical, 물리적인
destroy, 파괴하다
molecule, 분자
contribution, 기여
option, 선택권
multiple, 다수의
intertwine, 얽히다
lam, 도망치다
root, 뿌리
image, 이미지
account, 계좌
bay, 만
expansion, 확장
steadily, 꾸준히
floor, 바닥
invest, 투자하다
worthy, 가치 있는
emotional, 감정적인
athletic, 운동의
republic, 공화국
innovation, 혁신
theory, 이론
donation, 기부
exclusive, 독점적인
exit, 출구
breath, 호흡
authorise, 승인하다
benefit, 혜택
interpret, 해석하다
launch, 시작하다
airport, 공항
deposit, 예금
grade, 등급
reconciliation, 화해
pace, 속도
editor, 편집자
supply, 공급
sophisticate, 세련되게 하다
during, ~동안
doubtful, 의심스러운
commercial, 상업적인
reproduce, 재생산하다
obesity, 비만
absolutely, 절대적으로
surprisingly, 놀랍게도
shelter, 피난처
elaborate, 정교한
executive, 경영진
attempt, 시도하다
critical, 비판적인
equipment, 장비
recent, 최근의
recognise, 인식하다
expectation, 기대
quality, 품질
reset, 재설정하다
historical, 역사적인
regulation, 규제
locate, 위치하다
minimum, 최소의
biology, 생물학
stipend, 급료
promptly, 즉시
site, 장소
continuously, 지속적으로
primarily, 주로
syllabus, 강의 계획서
audition, 오디션
characteristic, 특성
summary, 요약
underscore, 강조하다
playground, 놀이터
probably, 아마도
anthropology, 인류학
complaint, 불만
adapt, 적응하다
critic, 비평가
durable, 내구성 있는
researcher, 연구원
indicate, 나타내다
flight, 비행
instrumental, 기악의
significantly, 상당히
certificate, 증명서
democracy, 민주주의
arrest, 체포하다
easter, 부활절
baseline, 기준선
carefully, 조심스럽게
happiness, 행복
wreck, 난파선
source, 출처
package, 패키지
treatment, 치료
external, 외부의
estimation, 추정
systematic, 체계적인
variety, 다양성
linguistics, 언어학
literacy, 문해력
transform, 변형하다
instruct, 지시하다
refrigerator, 냉장고
observation, 관찰
email, 이메일
calculator, 계산기
balance, 균형
collaboration, 협력
fund, 자금
submission, 제출
microscope, 현미경
reduce, 줄이다
appointment, 약속
prevail, 우세하다
demotion, 강등
demography, 인구 통계학
side, 측면
industrial, 산업의
sometime, 언젠가
tap, 수도꼭지
workshop, 워크숍
trigger, 촉발하다
emphasis, 강조
anticipate, 예상하다
applicant, 지원자
environment, 환경
ensure, 보장하다
extract, 추출하다
exhibit, 전시하다
accessible, 접근 가능한
conclusion, 결론
registration, 등록
extent, 정도
fatally, 치명적으로
slide, 슬라이드
react, 반응하다
compose, 작곡하다
strictly, 엄격히
larger, 더 큰
specialist, 전문가
consultation, 상담
colleague, 동료
regular, 규칙적인
insight, 통찰
gadget, 기기
foundation, 재단
component, 구성 요소
rural, 시골의
boredom, 지루함
counterpart, 상대방
core, 핵심
constructive, 건설적인
datum, 데이터
majority, 대다수
assistant, 조수
pathway, 경로
currency, 통화
extension, 연장
centre, 센터
overcrowd, 과밀하게 하다
respond, 응답하다
artefact, 인공물
throughout, ~내내
feasible, 실현 가능한
psychology, 심리학
exempt, 면제된
fossil, 화석
engage, 참여하다
acid, 산
thief, 도둑
edge, 가장자리
consumption, 소비
impact, 영향
liner, 라이너
topic, 주제
off-road, 비포장도로의
analysis, 분석
awareness, 인식
developer, 개발자
peer, 동료
scale, 규모
word, 단어
mass, 질량
agriculture, 농업
reserve, 보존 구역
feast, 잔치
organism, 유기체
press, 언론
sea, 바다
contemporary, 현대의
vital, 필수적인
female, 여성의
selection, 선택
distribute, 배포하다
recollection, 회상
lecturer, 강사
unique, 독특한
anonymous, 익명의
antibiotic, 항생제
overlong, 너무 긴
partway, 도중에
major, 주요한
sydney, 시드니
fingerprint, 지문
demonstrate, 입증하다
inconclusive, 결론이 나지 않는
abidance, 준수
reputable, 평판 좋은
entirely, 전적으로
edit, 편집하다
trend, 추세
crop, 작물
acceptable, 수용 가능한
track, 추적하다
overlap, 겹치다
grant, 보조금
unattended, 무인의
interactive, 상호작용하는
celebrate, 축하하다
consciously, 의식적으로
detail, 세부 사항
upgrade, 업그레이드하다
gym, 체육관
adjust, 조정하다
obtain, 얻다
complementary, 보완적인
re-enrolments, 재등록
disposable, 일회용의
application, 지원서
approach, 접근법
marine, 해양의
repetition, 반복
plagiarism, 표절
illustrate, 설명하다
earn, 벌다
create, 창조하다
proportion, 비율
teller, 은행원
tutorial, 튜토리얼
equip, 장비를 갖추다
vary, 다양하다
successfully, 성공적으로
synopsis, 개요
practical, 실용적인
temperature, 온도
disappear, 사라지다
recommend, 추천하다
formally, 공식적으로
failure, 실패
hours, 시간
dilute, 희석하다
guy, 남자
annual, 연간의
commitment, 헌신
inflation, 인플레이션
unclear, 불분명한
experimentation, 실험
considerably, 상당히
concession, 양보
beneficiary, 수혜자
thesis, 논문
atmospheric, 대기의
aware, 알고 있는
abstract, 추상적인
jargon, 전문 용어
specialisation, 전문화
currently, 현재
cooperation, 협력
bate, 줄이다
feature, 특징
parents, 부모
human, 인간의
rationally, 합리적으로
exam, 시험
seek, 찾다
hydrogen, 수소
freshwater, 민물의
finance, 재정
forecast, 예측
poster, 포스터
species, 종
shift, 변화
politics, 정치
secondary, 이차적인
demand, 수요
vote, 투표하다
item, 항목
original, 원래의
approachable, 접근하기 쉬운
reaction, 반응
unwell, 아픈
button, 버튼
prominent, 저명한
technological, 기술적인
requirement, 요구 사항
access, 접근
various, 다양한
male, 남성의
establish, 설립하다
consequence, 결과
campus, 캠퍼스
greenhouse, 온실
statistically, 통계적으로
sovereignty, 주권
severe, 심각한
anxiety, 불안
advisor, 고문
salt, 소금
layer, 층
click, 클릭하다
adulthood, 성인기
exist, 존재하다
crown, 왕관
associate, 연관시키다
fertiliser, 비료
parliament, 의회
comparison, 비교
promote, 촉진하다
branch, 지점
urban, 도시의
themselves, 그들 자신
directly, 직접적으로
pursue, 추구하다
struggle, 투쟁하다
identification, 신원 확인
unlike, ~와 다른
legal, 법적인
excellence, 우수함
dip, 담그다
tense, 시제
validate, 검증하다
timetable, 시간표
whereas, 반면에
supervisor, 감독자
mainly, 주로
print, 인쇄하다
traveller, 여행자
appreciate, 감사하다
vitamin, 비타민
quantitative, 양적인
literature, 문학
publish, 출판하다
sympathy, 동정
political, 정치적인
carbohydrate, 탄수화물
participant, 참가자
neuroscience, 신경과학
deliver, 배달하다
discount, 할인
within, ~이내에
incorporate, 통합하다
movement, 운동
fellow, 동료
accommodation, 숙소
advise, 조언하다
contribute, 기여하다
variable, 변수
solar, 태양의
midday, 정오
critically, 비판적으로
greatly, 크게
velocity, 속도
cyclone, 사이클론
calculation, 계산
textile, 직물
propose, 제안하다
outlet, 배출구
aquatic, 수생의
pure, 순수한
moisture, 수분
designer, 디자이너
politician, 정치인
uncertainty, 불확실성
coursework, 교과 과정
responsibility, 책임
consumer, 소비자
content, 내용
ingredient, 재료
elephant, 코끼리
dioxide, 이산화물
thorough, 철저한
calculate, 계산하다
provider, 제공자
legume, 콩과 식물
per, ~당
evolution, 진화
elderly, 노인의
classical, 고전적인
contact, 연락하다
choir, 합창단
guest, 손님
addiction, 중독
originate, 유래하다
risky, 위험한
atmosphere, 대기
extrapolate, 추정하다
investigate, 조사하다
assembly, 조립
inhabitant, 주민
time-restricted, 시간 제한된
positive, 긍정적인
cafeteria, 카페테리아
nutrition, 영양
dependant, 부양가족
financially, 재정적으로
lab, 연구실
focus, 집중하다
reproductive, 생식의
logo, 로고
investment, 투자
prosperity, 번영
stripe, 줄무늬
coastal, 해안의
stakeholder, 이해관계자
correlation, 상관관계
doctoral, 박사의
attract, 끌어들이다
comprehensive, 포괄적인
reception, 접수처
mental, 정신의
procedure, 절차
catch, 잡다
allocate, 할당하다
printer, 프린터
alumnus, 졸업생
unite, 통합하다
theft, 절도
monitor, 모니터하다
evaluation, 평가
skilled, 숙련된
clinical, 임상의
union, 노동조합
foremost, 가장 중요한
secure, 확보하다
import, 수입하다
detection, 탐지
lifetime, 평생
verbally, 구두로
eyewash, 세안액
assessment, 평가
module, 모듈
statement, 진술
phenomenal, 놀라운
psychologist, 심리학자
resource, 자원
equality, 평등
comment, 논평
convince, 설득하다
wildly, 격렬하게
closely, 밀접하게
cannot, ~할 수 없다
individual, 개인
universe, 우주
enrolment, 등록
legislation, 법률
unconsciously, 무의식적으로
beyond, ~을 넘어서
toddler, 유아
immigration, 이민
digital, 디지털의
personality, 성격
eligibility, 자격
thrive, 번성하다
aspect, 측면
behaviour, 행동
classify, 분류하다
concept, 개념
qualify, 자격을 갖추다
outbreak, 발생
system, 시스템
collaborate, 협력하다
affect, 영향을 미치다
mislead, 오도하다
region, 지역
technician, 기술자
captivity, 포로 상태
complex, 복잡한
golden, 금색의
extraordinarily, 비범하게
habitat, 서식지
vacuum, 진공
