exhaust, 배기가스
exhilarate, 기분을 좋게 하다
restaurant, 식당
intense, 극심한
facilitate, 가능하게 하다
fast, 빠른
sustainable, 지속 가능한
English, 영어
nucleus, 핵
intellectual, 지적인
factor, 요인
disorder, 무질서
depth, 깊이
recycle, 재활용
literature, 문학
exposure, 노출
explore, 탐구하다
abstract, 추상적인
conservation, 보존
imagine, 상상하다
Budget, 예산
reflect, 반영하다
progress, 진전
innovate, 받아 들여 쓰다
competent, 능숙한
escape, 탈출하다
perception, 지각
combine, 결합하다
industrial, 산업의
solar, 태양의
critical, 비판적인
ambitious, 거창한
distribution, 분포
capacity, 용량
innovation, 혁신
core, 핵심
picture, 그림
immense, 엄청난
tourist, 관광객
prosperity, 번영
precede, 앞서다
vulnerable, 취약한
usage, 용법
medium, 중간
opponent, 그들은 반대할 것이다
technique, 기술
launch, 시작하다
electric, 전기 같은
patent, 특허
manufacturer, 제조업체
qualify, 자격을 갖추다
library, 도서관
sensible, 현명한
speaker, 스피커
ban, 반
determine, 결정하다
species, 종
presentation, 프레젠테이션
odd, 이상한
reduce, 줄이다
genetic, 유전적
diversity, 다양성
observe, 관찰하다
particularly, 특히
extinction, 소멸
internal, 내부
glimpse, 일견
transaction, 거래
success, 성공
allocate, 할당하다
graduate, 졸업하다
examination, 시험
adequate, 적절한
initiate, 시작하다
engine, 엔진
constitute, 구성하다
elephant, 코끼리
natural, 자연스러운
skeptical, 의심 많은
source, 원천
necessarily, 필연적으로
shopper, 무료 신문
energy, 에너지
responsible, 책임이 있는
conclusion, 결론
ethnic, 민족
spice, 기미
output, 산출
potential, 잠재적인
knowledge, 지식
hypothesis, 가설
pale, 창백한
plain, 솔직한
desperate, 자포자기한
strength, 힘
association, 협회
postgraduate, 대학 졸업 후의
poverty, 빈곤
division, 분할
strategy, 전략
management, 관리
ritual, 의례
analysis, 분석
language, 언어
beneath, ~ 아래에
length, 길이
contrary, 반대되는
semester, 학기
achievement, 성취
radical, 근본적인
slave, 노예
scope, 범위
convince, 확신시키다
measure, 측정하다
strengthen, 강하게 하다
wealth, 재산
powerful, 강한
magnitude, 크기
Shakespeare, 셰익스피어
career, 직업
modern, 현대의
equivalent, 동등한
motor, 모터
promise, 약속하다
optimistic, 낙관적인
puzzle, 퍼즐
relative, 상대적인
virtually, 사실상
fossil, 화석
posture, 자세
hip, 잘 알고 있기
bend, 만곡부
survive, 생존하다
alliance, 동맹
protection, 보호
exchange, 교환
grand, 멋진
specific, 특정한
subject, 주제
debate, 토론
evidence, 증거
establish, 설립하다
similar, 비슷한
twin, 쌍
propose, 제안하다
publication, 출판
astrophysical, 천체 물리학의
journal, 신문
influence, 영향
extent, 정도
judge, 판사
rely, 의존하다
focus, 집중하다
external, 외부
promote, 홍보하다
style, 스타일
negative, 부정적인
recruit, 모집하다
alphabet, 알파벳
spell, 주문
despite, ~에도 불구하고
performance, 성능
requirement, 요구 사항
healthy, 건강한
environment, 환경
resource, 의지
material, 재료
medical, 의료
faculty, 학부
travel, 여행하다
significance, 중요성
represent, 대표하다
aspect, 측면
average, 평균
loan, 대출
tuition, 수업료
workforce, 인력
criticism, 비판
competition, 경쟁
participate, 참가하다
discussion, 논의
fame, 명성
compliment, 칭찬
widely, 넓게
series, 시리즈
wild, 야생의
huge, 거대한
passenger, 승객
hind, 암사슴
type, 유형
methodology, 방법론
suitable, 적합한
project, 프로젝트
questionnaire, 설문지
survey, 조사
quantitative, 양적
interview, 회견
qualitative, 질적인
purpose, 목적
option, 옵션
relatively, 비교적
temperature, 온도
dangerous, 위험한
patient, 인내심 있는
drink, 마시다
method, 방법
