establish, 설립하다
arrangement, 준비
determine, 결정하다
engage, 관계를 맺다
concern, 우려
characteristic, 특성
associate, 연관짓다
acceptance, 수락
complex, 복잡한
reveal, 드러내다
approach, 접근하다
publish, 출판하다
identical, 동일한
consumption, 소비
represent, 대표하다
decline, 감소
tremendous, 엄청난
barrier, 장벽
production, 생산
measure, 측정하다
experiment, 실험
recognise, 인정하다
generate, 생성하다
accelerate, 가속하다
detect, 감지하다
substance, 물질
consequence, 결과
potential, 잠재적인
system, 체계
fragment, 파편
emphasis, 중요성
entire, 전체
signal, 신호
root, 뿌리
benefit, 혜택
phenomenon, 현상
stretch, 뻗기
comprehensive, 포괄적인
treatment, 치료
suitable, 적합한
observe, 관찰하다
claim, 주장하다
response, 응답
identify, 식별하다
recognition, 인식
evidence, 증거
operate, 작동하다
define, 정의하다
majority, 다수
tradition, 전통
strike, 스트라이크
researcher, 연구원
previously, 이전에
accord, 일치
reaction, 반응
conduct, 지휘하다
convey, 전달하다
instance, 사례
indicate, 나타내다
efficient, 효율적인
skyscraper, 마천루
wander, 떠돌다
boom, 팔
effective, 효과적인
discipline, 규율
preserve, 보존하다
maintain, 유지하다
arrange, 마련하다
intend, 의도하다
consume, 소비하다
successfully, 성공적으로
virtually, 사실상
conventional, 전통적인
unique, 고유한
proportion, 비율
concept, 개념
contract, 계약
security, 보안
decade, 10년
representative, 대표
forecast, 예측
attitude, 태도
observation, 관찰
mode, 방법
consist, 이루어져 있다
evolve, 진화하다
individual, 개인
colony, 식민지
capture, 포착
tone, 음정
rational, 합리적인
luxury, 사치
locate, 위치하고 있다
throughout, ~ 내내
container, 컨테이너
emotional, 감정적인
mysterious, 신비한
structure, 구조
counter, 계수기
filter, 필터
stimulate, 자극하다
estimate, 추정
intention, 의도
eventually, 결국
reliable, 믿을 수 있는
undergo, 받다
volume, 용량
circular, 회보
movement, 움직임
tolerate, 참다
implication, 함축
participate, 참가하다
neutral, 중립적
procedure, 절차
eagle, 독수리
regulate, 규제하다
publication, 출판
presence, 있음
track, 길
reform, 개정
delay, 지연
interpret, 해석하다
puzzle, 퍼즐
derive, 파생하다
recommendation, 추천
flexible, 유연한
feather, 깃털
concentration, 집중
tendency, 성향
bravery, 용감
critical, 비판적인
accumulate, 모으다
criticism, 비판
exceed, 초과하다
unwilling, 마음 내키지 않는
shed, 창고
supreme, 최고
crude, 조잡한
resemble, 닮다
thunder, 우뢰
progressive, 진보적인
emerge, 알려지다
gather, 모으다
proposal, 제안
enthusiasm, 열광
encounter, 맞닥뜨리다
resource, 의지
exposure, 노출
maintenance, 유지
steep, 험한
efficiency, 능률
bind, 묶다
occupation, 직업
demonstrate, 입증하다
contribute, 기여하다
relevant, 관련 있는
experimental, 실험적인
halt, 정지
evaluate, 평가하다
confirm, 확인하다
principle, 원칙
transmit, 부치다
fade, 바래다
spin, 회전
variation, 변화
measurement, 측정
output, 산출
cripple, 불구자
investigation, 조사
variable, 변하기 쉬운
accommodate, 수용하다
deserve, ~ 받을 만하다
embarrass, 난처하게 하다
minimum, 최저한의
intelligence, 지능
slave, 노예
competent, 능숙한
distinguish, 구별하다
electric, 전기 같은
temperature, 온도
revise, 개정하다
conjunction, 접속사
imitate, 본뜨다
respective, 각각의
formation, 형성
prior, 이전의
undertake, 맡다
prevail, 만연하다
hence, 따라서
launch, 시작하다
assumption, 추정
compound, 화합물
evolution, 진화
fence, 울타리
frighten, 놀라다
definite, 명확한
occurrence, 발생
compensate, 보상하다
outcome, 결과
reflection, 반사
artificial, 인공의
invade, 침략하다
render, 세우다
authority, 권한
substitute, 대리자
destination, 목적지
presentation, 프레젠테이션
substantial, 상당한
axis, 중심선
dense, 밀집한
injure, 해치다
complicate, 복잡하다
compel, 강요하다
dose, 정량
hatch, 해치
victim, 피해자
infant, 유아
distribute, 분배하다
subtract, 덜다
magnetic, 자기
quantity, 수량
discard, 버리다
scheme, 계획
curiosity, 호기심
competence, 능력
institution, 기관
leisure, 여가
regulation, 규제
existence, 존재
satellite, 위성
collision, 충돌
altitude, 고도
intensity, 강함
resistant, 저항하는
instant, 즉각적인
assembly, 집회
reign, 군림
executive, 경영진
modest, 보통의
pipeline, 관로
democracy, 민주주의
creep, 살금살금 기다
retain, 유지하다
settlement, 합의
interaction, 상호 작용
dispose, 처분하다
drift, 경향
cord, 코드
expectation, 기대
accidental, 우연한
submarine, 잠수함
fertile, 비옥한
prejudice, 편견
equivalent, 동등한
statistics, 통계
explosive, 폭발물
genius, 천재
inspire, 고무하다
reduction, 절감
vanish, 사라지다
instinct, 본능
coordinate, 동등 어구
appetite, 식욕
indispensable, 없어서는 안될
impose, 부과하다
finance, 재원
worship, 예배
breed, 새끼를 낳다
postpone, 연기하다
association, 협회
comparison, 비교
vivid, 생생한
calculate, 믿다
submit, 제출하다
tropical, 열렬한
nevertheless, 그럼에도 불구하고
concentrate, 집중하다
rouse, 기상 나팔
combination, 콤비네이션
illustration, 삽화
motivate, 동기를 부여하다
sum, 합집합
interfere, 간섭하다
conceal, 숨기다
devote, 바치다
consult, 찾다
inspection, 점검
division, 분할
certainty, 확실성
possession, 소유
appliance, 기구
continent, 대륙
reserve, 예약하다
strategy, 전략
intellectual, 지적인
suspect, 의심하다
aircraft, 항공기
thrive, 번창하다
precise, 정밀한
celebrate, 축하하다
distinct, 별개의
diameter, 지름
realm, 왕국
split, 나뉘다
investigate, 조사하다
entitle, 자격을 부여하다
application, 애플리케이션
construct, 건설하다
residence, 거주
elaborate, 정교한
mechanics, 역학
electronics, 전자 제품
twist, 트위스트
controversial, 논란이 많은
reap, 받다
justify, 신이 옳다고 하다
orbit, 궤도
conflict, 갈등
alternative, 대안
intense, 극심한
primarily, 주로
bulk, 대부분
contemporary, 현대의
liable, 책임이 있는
infinite, 무한
blossom, 꽃
frequency, 빈도
discharge, 해고하다
regardless, ~에 관계없이
astonish, 놀라게 하다
survive, 생존하다
prescribe, 처방하다
motivation, 동기 부여
circulate, 돌리다
sustain, 지속시키다
operational, 운영상의
expansion, 확장
primitive, 원어
consistent, 일관된
definition, 정의
confusion, 착란
wrinkle, 멋진 생각
string, 끈
sculpture, 조각품
democratic, 민주적인
exploit, 악용하다
prominent, 중요한
reservation, 예약
champion, 챔피언
submerge, 잠수하다
prohibit, 금지하다
attribute, 기인하다
dramatic, 극적인
assist, 돕다
preference, 선호
disclose, 드러내다
surround, 서라운드
physicist, 물리학자
whilst, ...하는 동안
composition, 구성
expedition, 원정
agricultural, 농업
undoubtedly, 의심할 여지 없이
transform, 변환
vessel, 선박
vision, 비전
renew, 고쳐 쓰다
boundary, 경계
candidate, 후보자
